Date,Open,High,Low,Close
2022-09-16,308.579987,309.540009,307.029999,308.690002
2022-09-15,313.149994,313.839996,310.630005,310.630005
2022-09-14,310.079987,313.940002,309.059998,312.73999
2022-09-13,313.929993,319.369995,313.929993,318.559998
2022-09-08,310.230011,310.51001,308.26001,309.119995
2022-09-07,310.859985,311.100006,306.690002,308.160004
2022-09-06,313.359985,314.970001,311.690002,313.01001
2022-09-05,313.089996,315.220001,310.910004,312.470001
2022-09-02,316.459991,316.73999,312.179993,312.920013
2022-09-01,318.73999,318.76001,315.019989,315.019989
2022-08-31,316.959991,323.369995,316.26001,322.959991
2022-08-30,317.970001,320,316.940002,319.48999
2022-08-29,317.450012,317.470001,315.480011,316.350006
2022-08-26,325.359985,326.589996,323.299988,323.910004
2022-08-25,321.579987,323.630005,320.809998,323.630005
2022-08-24,320.149994,320.98999,318.160004,319.859985
2022-08-23,320.850006,321.5,318.26001,318.690002
2022-08-22,323.290009,324.420013,321.829987,322.769989
2022-08-19,329.059998,329.079987,326.339996,326.790009
2022-08-18,327.470001,329.940002,326.059998,328.799988
2022-08-17,332.109985,333.23999,329.299988,329.910004
2022-08-16,332.679993,333.470001,331.079987,331.779999
2022-08-12,329.230011,331.119995,329.070007,330.670013
2022-08-11,328.200012,329.920013,327.73999,329.920013
2022-08-10,326.299988,326.429993,323.859985,324.350006
2022-08-09,327.209991,328.619995,325.279999,328.109985
2022-08-08,326.049988,327.450012,325.209991,327.230011
2022-08-05,326.709991,328.470001,326.359985,327.5
2022-08-04,326.109985,326.399994,324.380005,325.470001
2022-08-03,321.480011,323.799988,320.25,323.799988
2022-08-02,322.640015,322.850006,320.209991,321.640015
2022-08-01,322.140015,324.309998,320.859985,322.970001
2022-07-29,324.380005,325.829987,321.950012,323.309998
2022-07-28,322.890015,323.730011,320.76001,321.619995
2022-07-27,319.829987,320.040009,317.299988,319.73999
2022-07-26,317.390015,319.910004,317.029999,319.609985
2022-07-25,316.399994,320.070007,316.200012,318.339996
2022-07-22,319.119995,320.940002,317,317.329987
2022-07-21,316.220001,320.140015,316.220001,319.679993
2022-07-20,319.149994,319.679993,315.480011,316.019989
2022-07-19,313.380005,314.059998,311.809998,313.899994
2022-07-18,311.059998,315.170013,310.600006,314.869995
2022-07-15,307.450012,308.140015,302.100006,307.910004
2022-07-14,304.700012,307.929993,303.649994,305.350006
2022-07-13,306.23999,308.619995,304.98999,306.589996
2022-07-12,306.940002,307.559998,303.320007,305.029999
2022-07-11,311.049988,311.859985,307.970001,308.290009
2022-07-08,310.730011,313.01001,310.019989,310.149994
2022-07-07,304.299988,310.070007,304.200012,308.309998
2022-07-06,307.140015,307.899994,302.059998,302.279999
2022-07-05,307.149994,309.98999,305.350006,309.029999
2022-07-04,304.459991,305.820007,300.820007,304.01001
2022-07-01,308.720001,310.549988,301.950012,304.019989
2022-06-30,311.200012,311.630005,307.200012,307.200012
